"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Panelprogram","Parkolás","Parkolóhely ára"
"1","Nagykanizsa, Zemplén Gyozo utca","13,6 millió Ft","42 m²","2","Nagykanizsán  a Zemplén utcában 10 emeletes épületben földszinti  másfél  szobás  fiatalosan  felújított  erkélyes  lakás  eladó.A lakás alapterülete  42 nm,  mindkét  szobája  az eloszobából  nyílik, a wc és a fürdo külön helyiségben van.A  szobák frissen festettek,  mindketto  laminált parkettás.A konyha,  fürdo, wc, eloszoba  új  járólap  és  csempe  burkolatot  kapott,  konyhába új  bútor  és  tuzhely  került beépítésre, a fürdo  wc-ben  új  szaniterek,  a bejárati  ajtó  cserélve.A Radiátorok egyedi homennyiség mérovel ellátottak, ezáltal a futési költség a valós energiafelhasználásnak megfeleloen  fizetendo.                                                                                     Kényelmes kis otthona  lehet kisebb családoknak, pároknak, fiataloknak elso lakásként, vagy  egyedül állóknak is, illetve  mozgássérülteknek,  idoseknek  is  megfelel  a  könnyu  megközelítés  miatt.A  közelben iskola, óvoda, orvosi  rendelo, gyógyszertár,  bevásárló központok, buszmegálló  található.Az ingatlan  tehermentes,  rövid  idon belül  költözheto.Havi  közös költség: 17500 ftHa szeretne egy kicsi, kényelmes, meleg családi  fészket, amit  nem  kell újítani,   kérem hívjon.Tóth Lászlóné Ingatlan tanácsadó","felújított","1981 és 2000 között","összkomfortos","nincs megadva","földszint","10","van","3 m-nél alacsonyabb","nincs megadva","nincs","17,5 E Ft/hó","igen","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA
"2","XII. kerület, Krisztinaváros","63,5 millió Ft","63 m²","3","Budapest XII. kerület központi részén, pár perc sétára a Mammut bevásárlóközponttól, a Városmajor szomszédságában eladásra kínálunk egy téglaépítésu társasházban található, 74 nm- es,3 szobás, teljes köruen felújított , nagy belmagasságú, összkomfortos polgári lakást.Az ingatlan remek adottságainak köszönhetoen nagyszeru lehetoség lehet irodának, de lakhatásra is kényelmes megoldás lehet akár nagycsaládosok számára is.A nyílászárok cseréje megtörtént.A parketta fel lett csiszolva, nagyon jó állapotú.A közlekedo folyosón egy nagyméretu beépített szekrényt találunk.A konyhai rész a felújítást követoen nem került visszaépítésre, de a gépészethez szükséges kiállások mind rendelkezésre állnak. Innen közvetlen kijárás van a lichthofra.Pár perc sétára található a Mammut bevásárlóközpont, a Széll Kálmán tér, a Fény utcai piac, de ha egy könnyed sétára vágyunk, akkor a Városmajor is könnyen és gyorsan elérheto. Amennyiben szeretné megtekinteni az ingatlant, vagy további kérdése lenne, kérem, keressen bátran!A.B.","felújított","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","vegyes tüzelésu kazán","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","kertre néz","nincs megadva","nem","nem tetotéri",NA,"utca, közterület",NA
"3","XII. kerület, Krisztinaváros","178,03 ezer €","63 m²","3","Budapest XII. kerület központi részén, pár perc sétára a Mammut bevásárlóközponttól, a Városmajor szomszédságában eladásra kínálunk egy téglaépítésu társasházban található, 74 nm- es,3 szobás, teljes köruen felújított , nagy belmagasságú, összkomfortos polgári lakást.Az ingatlan remek adottságainak köszönhetoen nagyszeru lehetoség lehet irodának, de lakhatásra is kényelmes megoldás lehet akár nagycsaládosok számára is.A nyílászárok cseréje megtörtént.A parketta fel lett csiszolva, nagyon jó állapotú.A közlekedo folyosón egy nagyméretu beépített szekrényt találunk.A konyhai rész a felújítást követoen nem került visszaépítésre, de a gépészethez szükséges kiállások mind rendelkezésre állnak. Innen közvetlen kijárás van a lichthofra.Pár perc sétára található a Mammut bevásárlóközpont, a Széll Kálmán tér, a Fény utcai piac, de ha egy könnyed sétára vágyunk, akkor a Városmajor is könnyen és gyorsan elérheto. Amennyiben szeretné megtekinteni az ingatlant, vagy további kérdése lenne, kérem, keressen bátran!A.B.","felújított","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","vegyes tüzelésu kazán","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","kertre néz","nincs megadva","nem","nem tetotéri",NA,"utca, közterület",NA
"4","Táborfalva, Pest megye","14,8 millió Ft","51 m²","2","Eladásra kínálok Táborfalván egy 51 nm-es, 2018-ban teljesen felújított, kétszobás, elso emeleti, erkélyes lakàst. Az épület kívülrõl szigetelve lett , minden lakáshoz külön villanyóra, vízóra és fûtés al-mérõ lett felszerelve. A lakásban a klíma helye ki lett alakítva. Tartozik a lakáshoz egy négy nm-es tároló rész is a pince részben. Lift nincs. Tömegközlekedés 10 perc sétára található. Amennyiben az ingatlan a leírásom és kényképek alapján felkeltette érdeklõdését, kérem hívjon bizalommal további információ miatt.","újszeru","2012","összkomfortos","nincs megadva","1","4","nincs","nincs megadva","távfutés egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem","nincs megadva",NA,"nincs megadva",NA
"5","Pécs, Angster József utca","47,9 millió Ft","89 m²","2 + 1 fél","Pécs legkedveltebb utcájában, a Mecsekoldal belvároshoz közeli részén magas földszinti 89 m2-es lakás eladó!Hatalmas déli tájolású, a város nézo panorámás terasza teszi különlegessé és jól élhetové az ingatlant.A lakás jelenleg nappali és 3 hálószoba elosztású, melyból két szoba félszoba. Eredeti burkolatokkal, nyílászárókkal rendelkezik. Futését távho adja. A lakáshoz akár 2 darab garázs is vásárolható (3,5; 5 Mft)!  A mellette lévo 43 m2-es lakás is eladó, így akár két generációnak, akár nagyobb családnak is kényelmes megoldás lehet!További információkért keressen bizalommal!Referencia szám: LK093952","közepes állapotú","1981 és 2000 között","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","távfutés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
"6","Sopron, Mátyás király utca","26,5 millió Ft","52 m²","2 + 1 fél","Sopron belvárosában a vasút állomáshoz nagyon közel eladó 52 m2 teljes köru felújításon áteset, erkélyes lakás.Ingatlan tetotéri nagyon világos lakás és a központi elhelyezkedés ellenére csendes is.Rövid határidovel költözheto, csak a kis javítások vannak hátra. A lakás tehermentes igény, esetén bérbe adjuk.Egy 10 m2 táróló is tartalmaz az ár.A konyhabútor vatatható igény esetén be is építjük. (az ár nem tartalmazza a konyhabútort.)Irány ár:26,5 M Ft","felújított","nincs megadva","nincs megadva","nincs megadva","2","2","nincs","nincs megadva","elektromos","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","utcai","2 m²","nem","tetotéri",NA,"utca, közterület - fizetos övezet",NA
"7","Pannonhalma, Gyor-Moson-Sopron megye","35,5 millió Ft","68 m²","3","Csendes, átmeno forgalomtól mentes utcában kínáljuk eladásra ezt a tágas és világos földszinti lakást.- 6 lakásos társasházban található- 62 m2-es lakótér- 15 m2-es, polikarbonáttal fedett terasz- nappali + 2 szobás- zárt udvari gépkocsibeálló az árban- rendezett, fuvesített udvar- kulturált szomszédokIde egy festés után költözhet!Hitelre van szüksége?Az Otthon Centrum az ország egyik legnagyobb és legmegbízhatóbb hitelközvetítojeként, teljes köru és díjmentes hitelügyintézéssel, biztosításkötéssel áll rendelkezésére!Kérje személyre szabott ajánlatunkat Kollégáinktól!","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"8","VII. kerület, Nefelejcs utca","120 millió Ft","130 m²","6","Remek befektetési lehetoségként kínálunk megvételre egy hat, különálló apartmanból álló lakó-komplexumot. A VII. kerületi, utcai bejáratú ingatlanon belül négy galériázott stúdió lakás van kialakítva, mindegyik különálló fürdoszobával, konyhájuk közös. Ezen felül található még két teljesen különálló stúdiólakás, mindketto saját konyhával és fürdoszobával. Az 1 éve befejezodött felújítás után tavaly nyáron került eloször kiadásra ebben a formában az ingatlan, így a hat lakásból származó havi nettó árbevétel 700 ezer forint, ami még a 2020-as vírushelyzet árképzését követi, így az új tulajdonos ennél is magasabb megtérülési volumenre számíthat. Érdemes azonban utánaszámolni, hogy a jelenlegi hozam mellett is 7,64% az éves megtérülési mutató a vételárhoz viszonyítva. Jelenleg 700.000Ft-ért van kiadva/ hó!!! Az egész létesítmény légkondícionált, újszeru állapotban van, konyhája teljesköruen felszerelt. A külön utcai bejáratnak köszönhetoen, igény esetén, akadálymentesítése is nagyon könnyen megoldható. A környék jó tömegközlekedéssel bír és többek közt az Állatorvosi Egyetem is a közelben található, ezért biztos, hogy a jövoben is könnyen kiadható, kedvelt lakhelye lesz az oda járó külföldi és magyar hallgatóknak. Rendkívül jó, kulcsrakész befektetési lehetoség, amely jelenleg teljes kapacitáson üzemel!","felújított","1950 elott","összkomfortos","nincs megadva","földszint","nincs megadva","nincs megadva","3 m-nél magasabb","nincs megadva","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","utcai","nincs megadva","nem","nem tetotéri",NA,"utca, közterület - fizetos övezet",NA
"9","Dorog, Belváros","42 millió Ft","69 m²","3","Újonnan épült lakások eladók!!! Eladásra kínálunk  Dorogon, 3 lakásos társasházban 67-69 m2-es társasházi lakásokat, garázzsal.  Az épületen belül két lakás 1. emeleti, egy pedig 2. emeleti. A lakásokban 3 rétegu ablakok, elektromos redonnyel kerültek beépítésre. A gázfutés kondenzációs kazánról, radiátorok keresztül muködik.  Az épület 15 cm-es hoszigetelést kapott. A burkolóanyagok is korszeruek és jó minoséguek . A lakások nagyon alacsony rezsivel muködnek. Minden lakáshoz külön tartozik egy-egy 20 m2-es garázs is, mely Hörmann garázs kapuval felszerelt. Két lakás kertkapcsolatos, a harmadikhoz egy nagyobb terasz tartozik.  Vállajuk régi lakásának, családi házának rövid idon belüli értékesítését, hogy korszeru, energiatakarékos, szép otthonba költözhessen!  Ingyenes tanácsadás és hitelügyintézés. Állami kamattámogatású forinthitel igényelheto! Lakás és garázs ÁRA: 42 MFt. További részletekért forduljon hozzánk bizalommal!","nincs megadva","2019","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","udvari","20 m²","igen","nincs megadva",NA,"teremgarázs hely - benne van az árban",NA
"10","VII. kerület, Klauzál utca","55 millió Ft","71 m²","2","Belso-Erzsébetvárosban 71 nm-es, részlegesen felújított lakás, remek befektetés, kiváló lokáció!A Klauzál tér közvetlen szomszédságában, egy hamarosan felújításra kerülo ház második emeletén, csendes belso udvarra nézo, két szoba (19 és 25 nm) + konyhás, cirkófutéssel ellátott lakás eladó!A felújítás egyedül az ablakokra nem terjedt ki: a bejárati ajtó több ponton záródó biztonsági ajtó, a villany-, gáz- és vízvezetékek újak, a fürdoszoba, az eloszoba és a WC modern burkolást kaptak, valamint a szobákban a parketta is szép állapotú. Továbbá tartozik a lakáshoz egy 4 nm-es tároló is, melyet az ár tartalmaz.Két kislakás is kialakítható, új bejárati ajtó megnyitását engedélyezi a társasház. A társasház SZMSZ-e nem tiltja a rövidtávú kiadást!Amennyiben felkeltette érdeklodését, keressen bizalommal!","jó állapotú","1950 elott","összkomfortos","nincs megadva","2","nincs megadva","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","udvari","nincs megadva","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
