"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Parkolás","Tetotér","Panelprogram","Parkolóhely ára"
"1","Eger, Hajdúhegy","32,5 millió Ft","75 m²","3","Heves megye, Eger Hajdúhegyen a Bercsényi Miklós utcában 75 nm-es, három szobás, 2. emeleti, erkélyes lakás eladó. Az ingatlan melegét gáz-konvektorok biztosítják, a meleg vizet átfolyós gázbojler szolgáltatja. Helyiségei: nappali, ketto hálószoba, konyha, kamra, fürdoszoba, külön WC, tároló és erkély. A lakás minden szobájából gyönyöru kilátás nyílik az Eged hegyre. A szobákat parketta illetve padlószonyeg borítja, míg a többi helyiség kerámia járólap burkolatot kapott.  Az ajtók fából készültek, az ablakok muanyagok, redonnyel fölszereltek. Az 1986-ban épült liftes társasház jó állapotú, folyamatosan karbantartott. A lakást szintén folyamatosan karbantartották tulajdonosai, ezért azonnal költözheto, de igény szerint korszerusítheto, modernizálható.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","3 m²","nincs megadva","nincs megadva",NA,NA,NA
"2","Nyíregyháza, Kert utca","30,8 millió Ft","72 m²","3","Nyíregyházán, a Kert utcában szigetelt, téglaépítésu, liftes társasház, magasföldszintjén,72 nm-es nappali+2 szobás, muanyag nyílászárós, beépített loggiás, nyugati fekvésu lakás eladó. - új bejárati ajtó- gardróbszoba- járólap és laminált parketta burkolatú- egyedi gázcirkós futés rendszer-a villany és vízvezetékek cserélve- 6 nm beépített loggiaHa az ingatlan megvásárlásához CSOK-ot, Babaváró támogatást illetve kamattámogatott hitelt szeretne igénybe venni s mindezt sorban állás nélkül keressen, hívjon bátran. Vevoink felé minden szolgáltatás díjtalan.","felújított","nincs megadva","összkomfortos","nincs megadva","félemelet","4","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nyugat","utcai","6 m²","nincs megadva","utca, közterület - ingyenes","nincs megadva",NA,NA
"3","IV. kerület, Újpest","26,9 millió Ft","38 m²","1","Eladóvá vált egy 38 nm-es garzon lakás Újpest szívében.- a lakás magasföldszinten helyezkedik el- fa nyilaszárók- az eloszobában beépített szekrénysor- a futést gáz konvektor biztosítja- közlekedés kiváló: alig 5 perc sétára található a 3-as metró és buszpályaudvar- közelben park, élelmiszer bolt, gyógyszertár is megtalálhatóTökéletes lakás egyetemistáknak, fiatal pároknak, de akár befektetés céljára is.(Érdeklodés esetén a hirdeto képe melletti alsó telefonszámot legyen szíves hívni.)","közepes állapotú","1950 és 1980 között","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","nincs megadva","nem","egy helyiségben","északnyugat","nincs megadva","nincs megadva","nem","utca, közterület - ingyenes","nem tetotéri",NA,NA
"4","VII. kerület, István utca","32 millió Ft","42 m²","2","ELadó egy a VII.kerületi  42 m²-es, 2 szobás lakás a Városliget közelében.A lakáshoz tartozik egy saját pince is.A közös költség: 30000 ft, mely tartalmazza a víz és futés díját is.Könnyen és saját ízlés szerint felújítandó.A városliget közelsége miatt a sportolni vágyóknak és a gyerekes családoknak  is kiváló lehet. Tömegközlekedés szempontjából is nagyszeru választás,ha csak a Keleti pályaudvar közelségét vesszük alapul.A lakást ajánlom befektetok és sajátcélra vásárlók számára egyaránt!Amennyiben felkeltette az érdeklodését kérem keressen bizalommal!","felújítandó","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél magasabb","házközponti","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","udvari","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"5","Pécs, Lahti utca","19,95 millió Ft","55 m²","2","Kertvárosba vágyik? Csendes környéken élne?Elso lakását keresi?Eladó Kertvárosban a Lahti utca egyik csendes részén egy 3. emeleti, Csúsztatott zsalu szerkezetu,  muanyag nyílászárós lakás.A Lakás szigetelt, erkélyes!Kisebb felújítás után gyönyöru lakássá varázsolható, de ha így tetszik Önnek, azonnal be is tud költözhet.További kérdéseivel keressen bizalommal!","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","3","nincs megadva","nincs megadva","nincs megadva","távfutés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"6","XIII. kerület, Újlipótváros","44,9 millió Ft","62 m²","2","Hangulatos ingatlant keresel? Netán kipóbálnád milyen egy padlástérben lakni?Akkor itt a remek alkalom. Csodálatos rusztikus berendezéssel eladásra bocsátott Újlipótváros szívében egy muemlék épület.Csendes nyugodtt környezetben található a lakás. A lakáshoz saját tároló és zárt motor beálló is tartozik. A társasház udvarán gépkocsi beálló bérlésre is van lehetoség.Bármi kérdése lenne keressen bizalommal.Budapest , XIII. kerület , Újlipótváros , 13. kerület , Eladó , Ingatlan , Lakás","jó állapotú","1950 elott","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"7","Pomáz, Pest megye","56,8 millió Ft","90 m²","2","Pomáz központjában, eladó egy ÚJ SZERU, teljesköruen, igényesen felújított kertkapcsolatos 90 nm-es, két szobás lakás. Nagy nappali, étkezo konyha, háló.gardrób, tároló. A lakáshoz tartozó kizárólagos telek 143 nm, itt helyezkedik el az autóbeálló is. A felújítás során muszakilag és esztétikailag is a maximumra törekedtek. Minden vezetéket kicseréltek, új vakolat, burkolatok, hoszigetelo muanyag nyílászárók, korszeru, energia takarékos futés, klíma.Referencia szám: LK069163","felújított","1950 és 1980 között","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"8","Pécs, Gyárváros","27,99 millió Ft","120 m²","3","Pécs Gyárvárosi városrészén, a Táltos utcában, egy 3 különálló lakásból álló, társasházi ház része, egyben eladó! A 3 lakás azonos elrendezésu, eloszoba, fürdoszoba, konyha-étkezo és egy szoba került kialakításra.A lakásokat egybe is lehet nyitni, így egy család számára is alkalmas lehet. Az ingatlanhoz egy kisebb belso udvar, pince, muhely, spájz tartozik. Ipari árammal ellátva, a ház futését egy kazán biztosítja, illetve h tarifás klímás futés is található bent. Közös költség nincs!Az utca csendes, parkolás a ház elott megoldott, közelben iskola, óvoda, boltok, illetve suru buszjáratok. Hívjon bizalommal akár hétvégén is!","közepes állapotú","1950 és 1980 között","komfortos","nincs megadva","földszint","nincs megadva","nincs","nincs megadva","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","igen","nincs megadva","nem tetotéri",NA,NA
"9","XIV. kerület, Fischer István utca","51,97 millió Ft","45 m²","2","""Pest legkedveltebb kertvárosi részénA Thermal Zugló 4 Pest legkeresettebb kertvárosi kerületében épül, ahol a lakók a zöldövezeti és a nagyvárosi életmód minden elonyét kiélvezhetik. Új építésu, modern otthonok nyugodt, otthonos környezetben, elérheto távolságra a belvárostól!""""Otthon a patakparti sétányonA Rákos-patak partján hangulatos, magas fákkal övezett, kiépített sétány található. Az erre vezeto bicikliút és a futásra is alkalmas sétány páratlan kikapcsolódási lehetoséget nyújt az aktív életet kedveloknek. A környék családi házas, osfás környezete harmonikus kertvárosi hangulatot teremt.Ideális infrastruktúrával, a belvárostól elérheto távolságraA Thermal Zugló 4 lakóinak a zöldövezeti környezetben sem kell lemondaniuk a város nyújtotta elonyökrol: a lakópark közvetlen környezetében élelmiszerbolt, pékség és gyógyszertár is található, de nincs messze a változatos kínálatú Bosnyák téri piac sem, melynek környékén számos egyéb üzlet érheto el.""""Sportolási és rekreációs lehetoségek a szomszédbanAz új, modern lakások közvetlen közelében számos sportolási és rekreációs lehetoség érheto el: a telek közvetlen szomszédságában található sporttelepen egy új sportközpontot, futó-, kosárlabda- és futballpályát, valamint felnott szabadtéri edzoparkot alakítottak ki. A karnyújtásnyira található Paskál Gyógy- és Strandfürdoben tanmedence, gyerekmedence, gyógymedence, különféle szaunák és egy kinti-benti, vízi bárral üzemelo élménymedence is várja a látogatókat.""","új építésu","2023","összkomfortos","nincs megadva","3","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","van","nincs megadva","igen","egy helyiségben","északkelet","udvari","8.74 m²","nem","teremgarázs hely - megvásárolható","nem tetotéri",NA,NA
"10","XIII. kerület, Angyalföld","49 millió Ft","62 m²","2","Eladó Ingatlan a XIII. kerületben.Alkalmas lehetoség egy fiatal párnak , kiscsaládosoknak illetve befektetoknek. Magát az épületet az 1950-es években építették . Rendezett társasház , csendes és nyugodtt környezett illetve Csendes lakóközösséggel .Zárt lépcsoházas lakás , van egy közös táróló helyiség de magához a lakáshoz is külön tartozik egy . Az ingatlan Fiastyúk utcában helyezkedik el.Kisebb-Nagyobb boltok , Hivatali Intézmények , Óvodák , Iskolák , Bölcsodék , Házi Orvosi rendelok.250 m-re érheto el a Rákos Patak, pihenésre és kikapcsolódásra vágyóknak, játszóterekkel és parkokkal.Illetve a Duna Pláza is a közelben van.Pár perc sétával elérheto a 105 és a 120 busz, 12 és 14 villamos, illetve M3 Gyöngyösi úti megálló.Ha felkeltette az érdeklodését akkor hívjon Bizalommal.","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","3 m-nél alacsonyabb","távfutés","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","5 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
