"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Panelprogram","Parkolás","Parkolóhely ára"
"1","XIX. kerület, Jókai utca 30.","30,8 millió Ft","55 m²","1 + 2 fél","Eladó panellakás hibátlan paraméterekkel!Kispesten a Jókai utcában 4 emeletes házban eladó egy:-TEHERMENTES-2. EMELETI (törzsgyökeres panellakóként szerintem a legjobb emelet),-ERKÉLYES (nappaliból nyílik)-MUANYAG ABLAKOS, redonnyel, szúnyoghálóval,-55 nm-es lakás, ami a tulajdoni lapon 1 + 2  fél szobás.A lakás valójában hatalmas terekkel rendelkezik, mivel a konyha a nappalival és az étkezovel lett összenyitva, valamint a két félszoba egy nagyobb szobává lett átalakítva a közöttük lévo válaszfal elbontásával (ezek igény szerint vissza alakíthatóak).A lakáshoz tartozik egy saját használatú, zárt TÁROLÓ is, ami RITKASÁGNAK számít.Minimum 4 hónap birtokbaadási idovel.INGATLANKÖZVETÍTOK KÉREM KÍMÉLJENEK!(Ez a mondat azt jelenti, hogy ingatlanközvetíto ne telefonáljon!)Irányár: 30,8 Millió Ft.","nincs megadva","nincs megadva","összkomfortos","nincs megadva","2","4","nincs megadva","nincs megadva","távfutés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","3 m²","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"2","VIII. kerület, Rákóczi út","59,5 millió Ft","72 m²","3","A Rákóczi úton eladó luxus minoségben felújított bútorozott és gépesített 72 nm-es lakás. Belmagassága 3.8 m, riasztóval ellátott, két fürdoszobás, légkondicionált, cirkófutéses és galériázott. Számos dizájn elemekkel kiváló kényelmet biztosít a leendo lakójának. Acél biztonsági ajtó, Ikea konyha ( mosogató gép, indukciós tuzhely, mikró),Nord tipusú klima, koaksz kábel a nappaliban és a háló szobákban, számítógépes kábel mindhárom szobában, ledes lámpák szolgálják a kényelmet.","felújított","1950 elott","duplakomfortos","nincs megadva","1","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"3","IX. kerület, Ráday utca","119 millió Ft","115 m²","4","Eladó IX. ker. közkedvelt utcájában  a Ráday utcában rendezett liftes há elso emeletén,  egy csendes  115nm. izlésesen felújított két külön lákássá alakított ingatlan. Az egyik lakás 2 szobás a másik egy szobás , külön méroórákkal felszerelt, minden ablaka csendes utcára nézo. Központi elhelyezkedése miatt gyorsan kiadható ezért befektetésnek is jó választás.Kávézók ,éttermek, bolt, piac, szolgálja az ott lakók kényelmét. Érdemes megnézni, beleszeretheto lakás.","felújított","1950 elott","duplakomfortos","nincs megadva","1","4","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva",NA,"utca, közterület",NA
"4","XVI. kerület, Iglói utca 14.","47,8 millió Ft","54 m²","2","Az épületrolA Zöldmezo Lakópark Budapest XVI. kerületében, a fováros egyik kedvelt, zöldövezeti, kertvárosias városrészében épül. A fejlesztési terület egy kiterjedt zöldterülettel körülvett lakóövezetben helyezkedik el.Az 5 szintes társasház két épületbol áll, melyekben összesen 128 lakást alakítanak ki. A társasház kínálatában a 31 m²-es garzontól a 83 m²-es 3 szobás lakásig sok minden megtalálható lesz. A lakások jelentos többsége erkélyes vagy teraszos, a földszinti kertkapcsolatos lakásokhoz pedig kizárólagos használatú kertrész tartozik. A lakások elektromos redonnyel és klímával felszereltek.Az „L” alakú épület egy csendes, parkosított belso kerttel rendelkezik. A parkolást felszíni és mélygarázsban lévo beállók biztosítják. A társasházban tárolók is vásárolhatók.A Zöldmezo Lakóparknál a határidore történo átadás és a minoségi megvalósulás garantált, hiszen a generálkivitelezést a több évtizedes építoipari és kivitelezoi tapasztalattal rendelkezo, TOP 50-es hazai cég, a Bayer Construct vállalatcsoport végzi, ami kiemelt biztonságot jelent a vásárlóknak. A társasház építése 2021 tavaszán kezdodött és várhatóan 2022 végére készül el.A környékrolA Lakóparktól pár perc sétára található a János utcai Lidl, a Pólus Center pedig mindössze 2,5 km. Az M0-ás autópálya és az M3-as bevezeto alig pár perces autóút.ElonyökCélunk egy kellemes közeg, nyugodt légkör és kertvárosi hangulat megteremtése, ahol az emberek szeretnek élni és szívesen töltik a szabadidejüket.","új építésu","2022","összkomfortos","BB","földszint","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","igen","egy helyiségben","délnyugat","kertre néz","5.26 m²","igen","nem tetotéri",NA,"teremgarázs hely - kötelezo megvenni","3 500 000 Ft"
"5","V. kerület, Belváros","155 millió Ft","126 m²","4","Budapest belvárosában, erkélyes lakásban élni különleges élmény turistaként és magyar állampolgárként is. Vásárolja meg ezt az élményt ezzel a remek lakással.A KÖRNYEZETAz V. kerületben az Egyetem térhez közel, csendes, egyirányú, alacsony forgalmú mellékutcában, ahonnan minden egy karnyújtásnyira van Öntol.A HÁZAz 1900-as évek körül épült polgári épület külso és belso homlokzata is kiváló állapotú. A lépcsoház kulturált, tiszta, karbantartott. Nincs lift, az ingatlan 3. emeleti.Parkolni az utcán lehet, az V. kerületi lakók számára ingyenesen. A kerület be van kamerázva, egy mobil alkalmazás segítségével nyomon lehet követni a szabad parkoló helyeket.A LAKÁSJelenleg rövid távú kiadás céljával hasznosítják. Rendelkezik minden ehhez szükséges engedéllyel. A Covid alatt is folyamatosan hasznosítva volt. Komoly vásárlóknak szívesen megmutatjuk milyen számokat tud jelenleg. A vírust megelozoen havi átlagban 2800EUR bevételt generált.2014-ben teljes köru felújításon esett át, melynek keretében minden vezetéket, csövet kicseréltek. Korszerusítve lett az egész lakás. Jelenleg is makulátlan állapotban van. A felújítás során cél volt, hogy az ingatlan különleges hangulatú legyen és illeszkedjen a ház patinás mivoltához.Legfelso emeleti, belso két szintes. A felso szint részben tetotéri. Mindkét szinten van fürdoszoba.Ez az egyetlen erkélyes lakás a házban, hangulatos kilátással a belvárosra. Maradt megválaszolatlan kérdés? Szívesen megtekintené a valóságban is? Keressen megadott elérhetoségeimen!eladó ingatlan lakás otthon egyetemek egyetemekhezközel elte corvinus bme fovámtér polgári belváros budapest 5.kerület V.kerületReferencia szám: H434249","felújított","1950 elott","nincs megadva","nincs megadva","3","nincs megadva","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","3 m²","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
"6","II. kerület, Margit körút","180 millió Ft","162 m²","4 fél","Megvételre kínálunk egy felújítandó lakást Budán. Az ingatlan a 2.emeleten található, Duna panorámás lakás. Képekért keressen telefonon vagy üzenetben.","felújítandó","1950 és 1980 között","nincs megadva","nincs megadva","2","nincs megadva","nincs","nincs megadva","cserépkályha","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","panorámás","nincs megadva","nem","nincs megadva",NA,"nincs megadva",NA
"7","XVIII. kerület, Újpéteritelep","80 millió Ft","90 m²","3","Eladó XVIII. kerület Újpéteritelepen, egy brutto 106 m2-es elso emeleti társas-házi lakás.A lakás DK-i fekvésü,10m2 loggia biztosítja a kényelmes pihenést.Amerikai konyha  és napplali,dolgozó szoba és a háló,minden az ön igényit szolgálja.A fürdoszoba és az illemhelyesig külön helyiségben található.Futése infra, így a futési költsége a lakásnak nagyon kedvezo.Valósítsa meg az álmait!Hatlakásos társasház 700 m2-es telken helyezkedik el, amely közös használatú.Minden lakáshoz tartozik egy gépkocsi részére fedett beálló.Közelben iskola, óvoda, gyermek és felnott orvosi rendelo, uszoda, sportközpont, gyógyszertár és egyéb vásárlási lehetoségek. Tömegközlekedést tekintve szintén remek adottságokkal bír. Buszmegálló, vasútállomás 10 percre található, ahonnan a Nyugati pályaudvar vagy másik irányba indulva Liszt Ferenc nemzetközi repülotérre juthatunk.Repülotér autóval 15 perc, M51 és M0 10 perc.Referencia szám: H425637","nincs megadva","2020","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél alacsonyabb","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","udvari","10 m²","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
"8","XXI. kerület, Csepel-Csillagtelep","38,3 millió Ft","69 m²","4","Lokáció:- Csepel Csillagtelepen- szuper közlekedés mellett- buszjáratok és HÉV pár percre- bevásárlási és szórakozási lehetoségek a közvetlen közelben- Csepel Pláza, mozi, Tesco, Spar pár percre- bölcsode, óvoda, iskola, Muvelodési ház, orvosi rendelo, posta pár méterreLakás:- 70 m2-es, 3 és félszobássá alakított- amerikai konyhás nappali lett kialakítva- minden helyiség külön nyílik- felújított állapotú, muanyag nyílászárós, redonyökkel és szúnyoghálóval ellátott- több ponton záródó Nívó biztnsági ajtó- 3 m3-es erkélye és a szobák ablakai is zöld, csendes parkra néznek- futése távfutés, vízórás, huto-futo klíma teszi kellemessé a homérsékletet- a futés-és vízvezetékek fel lettek újítva- D-i fekvésu, rendkívül világos, csendes lakás- olcsó fenntartási költségei vannak, összes rezsi kb. 27.000.- Ft.- tehermentes!Ház:- 4 emeletes panelház- rendszeresen karbantartott- a közelmúltban tetofelújítás volt, és kaputelefon csere, festés- rendezett, jó lakóközösségKülön nyíló szobái szobái és alacsony rezsije miatt saját részre vagy kiadásra is tökéletes választás!-Referencia szám: H428324","jó állapotú","1981 és 2000 között","nincs megadva","nincs megadva","4","nincs megadva","nincs megadva","3 m-nél alacsonyabb","távfutés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","3 m²","nincs megadva","nem tetotéri","nincs megadva","nincs megadva",NA
"9","VII. kerület, Madách Imre tér","155 millió Ft","90 m²","3","Megvételre kínálok a Madách Imre téren a Madách házakban, az Örkény Színháztól pár lépésre - egy magas emeleti, 3 külön nyíló szobás duplakomfortos, erkélyes, panorámás lakást nagyon szép, liftes épületben. A lakás teljesköruen és magas minoségben felújított. Minden szoba légkondicionált. Amennyiben felkeltettem érdeklodését, várom hívását a hét bármely napján.","felújított","nincs megadva","nincs megadva","nincs megadva","4","5","van","3 m-nél magasabb","házközponti","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","délkelet","panorámás","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"10","XIII. kerület, Angyalföld - Béke-Tatai utcai lakótelep","56,5 millió Ft","73 m²","3 + 1 fél","XIII. kerület, csendes, parkosított részén kínálunk eladásra egy 73 nm-es elso emeleti, azonnal költözheto lakás. Az ingatlanhoz közös közös tároló tartozik, amely le van választva lakásonként.","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","1","4","nincs","3 m-nél alacsonyabb","távfutés egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
