"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","V. kerület, Szent István tér","239 millió Ft","80 m²","3","Eladásra kínálok az V. kerületben,a Szent István téren, a Bazilikával szemben egy 80 nm-es, IV. emeleti, 3 szobás lakást.A ház 5 szintes, liftes, igényes, tiszta, rendszeresen karbantartott. A lakás jó állapotú.Jelenleg kiadási célra használják az ingatlant.Keleti fekvésu, így nagyon világos.Finanszírozás:Az ingatlan készpénzzel és banki finanszírozással egyaránt megvásárolható.Muszaki:Mindhárom szoba saját fürdoszobával rendelkezik, mely zuhanyzóval, wc-vel és bidével ellátott.Az ingatlan klímával felszerelt. Ablakai muanyagok. A futésrol gázcirkó gondoskodik.Belmagassága: 3,6 m.Az ingatlanhoz tartozik egy 3 nm-es pincerész.Közösköltség: 6.000 Ft.Környék:Minden megtalálható, amire szükségünk lehet. Legyen szó a hétköznapi dolgok elintézésérol, vagy akár a szórakozásról. Számos étterem, bisztró, bár található a környéken.Közlekedés:A közlekedés kiváló. Pár percre vagyunk a Deák tértol. Metrók, számos busz és villamos járat segíti a könnyed közlekedést. A parkolás az utcán kialakított parkolóhelyeken megoldható.Ajánljuk:Ajánlom Mindenkinek, aki szereti a nyüzsgo életet, környezetet. Illetve aki szeretne egy csodás kilátást a Bazilika lenyugözo épületére.Befektetésnek is kiváló, mivel az ingatlan elhelyezkedése révén értékét nemcsak tartja, hanem folyamatosan növekszik, ezért inflációt kivédo befektetésnek is kiválóan alkalmas.Hívjon bizalommal!","jó állapotú","1950 elott","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","egy helyiségben","kelet","panorámás","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"2","V. kerület, Szent István tér","239 millió Ft","80 m²","3","Unger bérházban ami 1910-ben épült késo eklektikus stilusban azonnal költözheto lakás eladó. nappali amerikai konyhával+elöszobával, 3 hálószoba három fürdoszobával, szálláshelyként müködo és engedélyekkel rendelkezik az ingatlan. Bazilikára panorámás, külön bejáratu szobák, butorral berendezésekkel együtt kerül értékesitésre. kamerarendszer, minden fürdoszoba zuahnyzos wc-vel és bidével ellátott. 32 lakásos a sarok társasház, vizóra, közös költség 6000 Ft/hó, tehermentes, bevételt termelo ritkaság","felújított","1950 elott","duplakomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","egy helyiségben","kelet","panorámás","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"3","I. kerület, Hunfalvy utca 8.","239 millió Ft","269 m²","7 + 3 fél","A Budai Vár bejáratánál, a Bécsi kaputól induló csendes, rendezett zsákutcában egy 269 m2-es, - jelenleg iroda-üzlethelyiség - kétállásos garázzsal tulajdonostól eladó.Az ingatlan kiválóan alkalmas lehet egy exkluzív lakás kialakítására, mint amilyen például a hirdetésben szereplo látványterveken szerepel. Akár a képeken látható, vagy ahhoz hasonló lakást is álmodhat ide az az érdeklodo, akinek számára az is elonyt jelent, hogy minden egy szinten van.  A város közelsége, a Budai Vár közvetlen szomszédsága, a forgalom mentes csend és a jó levego, - mindez saját lakás kialakításának a céljára, de akár beruházási célra is különlegesen értékessé teszi ezt a helyet. Az ingatlanban saját garázs, az utcában további parkolási lehetoségek vannak – még akkor is, amikor az egész városban ingyenes a parkolás.Az ingatlant az új tulajdonosa kedve szerint alakíthatja, mert nagyon kevés a fofal. Inkább csak tartóoszlopok vannak, tehát a jelenleg szétválasztott tereket tetszolegesen át lehet alakítani, vagy akár egybe is lehet nyitni.Fontos megjegyezni, hogy az utca fonton lévo 7 db. ablak nagyobbra cserélheto. Erre vonatkozóan tervrajz, és érvényes építési engedély már rendelkezésre áll.Az ingatlan Buda I. kerületének egyik legkedveltebb részén, a Budai Vár közelében, csendes, barátságos utcában épült. Közvetlenül az épület mellett van a felújított Európa Liget, annak a túloldalán pedig a Bécsi Kapu. Autóval könnyen megközelítheto a Széna tértol, a Széll Kálmán tértol, vagy a rakpart felol a Batthyány tér irányából is, de a Batthyány tér 5-6 perces sétával is elérheto. Az utcát nem zavarja átmenoforgalom, és folyamatosan van parkolási lehetoség.A közelben több kiváló étterem és remek kávézók vannak, a Mátyás-templom és a Halászbástya is könnyen elérheto. Az ingatlan családi cégünk 1/1 tulajdonában van. Per és tehermentes. 45 napon belül birtokba tudjuk adni.Ha szeretné személyesen is megtekinteni az ingatlant, kérjük, hívja fel a megadott telefonszámot, szívesen megmutatjuk Önnek!Ingatlanügynökök jelentkezését kizárólag csak konkrét érdeklodovel várjuk!","jó állapotú","1981 és 2000 között","nincs megadva","nincs megadva","földszint","4","nincs megadva","3 m-nél alacsonyabb","nincs megadva","nincs megadva","nincs megadva","igen","nincs megadva","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","önálló garázs - benne van az árban",NA,NA
"4","I. kerület, Hunfalvy utca 8.","671,46 ezer €","269 m²","7 + 3 fél","A Budai Vár bejáratánál, a Bécsi kaputól induló csendes, rendezett zsákutcában egy 269 m2-es, - jelenleg iroda-üzlethelyiség - kétállásos garázzsal tulajdonostól eladó.Az ingatlan kiválóan alkalmas lehet egy exkluzív lakás kialakítására, mint amilyen például a hirdetésben szereplo látványterveken szerepel. Akár a képeken látható, vagy ahhoz hasonló lakást is álmodhat ide az az érdeklodo, akinek számára az is elonyt jelent, hogy minden egy szinten van.  A város közelsége, a Budai Vár közvetlen szomszédsága, a forgalom mentes csend és a jó levego, - mindez saját lakás kialakításának a céljára, de akár beruházási célra is különlegesen értékessé teszi ezt a helyet. Az ingatlanban saját garázs, az utcában további parkolási lehetoségek vannak – még akkor is, amikor az egész városban ingyenes a parkolás.Az ingatlant az új tulajdonosa kedve szerint alakíthatja, mert nagyon kevés a fofal. Inkább csak tartóoszlopok vannak, tehát a jelenleg szétválasztott tereket tetszolegesen át lehet alakítani, vagy akár egybe is lehet nyitni.Fontos megjegyezni, hogy az utca fonton lévo 7 db. ablak nagyobbra cserélheto. Erre vonatkozóan tervrajz, és érvényes építési engedély már rendelkezésre áll.Az ingatlan Buda I. kerületének egyik legkedveltebb részén, a Budai Vár közelében, csendes, barátságos utcában épült. Közvetlenül az épület mellett van a felújított Európa Liget, annak a túloldalán pedig a Bécsi Kapu. Autóval könnyen megközelítheto a Széna tértol, a Széll Kálmán tértol, vagy a rakpart felol a Batthyány tér irányából is, de a Batthyány tér 5-6 perces sétával is elérheto. Az utcát nem zavarja átmenoforgalom, és folyamatosan van parkolási lehetoség.A közelben több kiváló étterem és remek kávézók vannak, a Mátyás-templom és a Halászbástya is könnyen elérheto. Az ingatlan családi cégünk 1/1 tulajdonában van. Per és tehermentes. 45 napon belül birtokba tudjuk adni.Ha szeretné személyesen is megtekinteni az ingatlant, kérjük, hívja fel a megadott telefonszámot, szívesen megmutatjuk Önnek!Ingatlanügynökök jelentkezését kizárólag csak konkrét érdeklodovel várjuk!","jó állapotú","1981 és 2000 között","nincs megadva","nincs megadva","földszint","4","nincs megadva","3 m-nél alacsonyabb","nincs megadva","nincs megadva","nincs megadva","igen","nincs megadva","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","önálló garázs - benne van az árban",NA,NA
"5","XII. kerület, Krisztinaváros","239 millió Ft","218 m²","4","P20767 További képeket, részletesebb adatokat, ha van, akkor alaprajzokat is talál, ha az Ingatlanönki honlapján beírja az irodai azonosító (P20767) számot. Eladó Krisztina városban egy 217,50 m2-es, egyszintes, panorámás lakás. Eladó Krisztina városban egy 217,50 m2-es, egyszintes, panorámás lakás.A lakás a legfelso szinten helyezkedik el és ezen a szinten, csak ez a lakás található. A lakásból a saját tetoteraszra és a tetokertbe léphetünk ki, ahonnan kilátás nyílik a várra, a Gellérthegyre és a Sashegyre.","újszeru","2001 és 2010 között","luxus","nincs megadva","5","5","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","panorámás","nincs megadva","nincs megadva","nem tetotéri","udvari beálló",NA,NA
"6","XII. kerület, Kútvölgy","239,3 millió Ft","91 m²","3","- SMART, OKOS OTTHON RENDSZER- 160 M2 PRIVÁT KERT- HOSZIVATTYÚS ENERGIAELLÁTÁS- MENNYEZET HUTÉS-FUTÉS- AUTOMATA ZSALÚZIA ÁRNYÉKOLÁSTECHNIKA- TEREMGARÁZS 2 BEÁLLÓ / LAKÁS- NAGY TÁROLÓ- TÁGAS KERT, 1950 NM- ÁTADÁS 2021.MÁJUS A kituno lokációval rendelkezo, lendületes, ám letisztult homlokzatú FS18 Residence a legfrissebb építészeti trendek alapján került megtervezésre. A hátsó, csendes kert felé megnyitott épülettömb modern dizájnjával, egyéni igényekre szabható lakás-enteriorjével és praktikus, ám stílusos élettereivel ideális választás a budai belso kerületekben lakást kereso vásárlóknak.A projekt befektetoi olyan épületegyüttes létrehozását tuzték ki célul, ahol a leendo tulajdonosok egyszerre élvezhetik a városközeli hegyvidék nyugalmát és a felsokategóriás életstílust. Ezek a minden igényt kielégíto lakások kényelmet, nyugalmat, biztonságot kínálnak.          Az impozáns, modern vonalú épületben 4 lakás, valamint a felszín alatt elhelyezkedo 8 db parkoló és 4 db tároló épül az energiatudatos építészet jegyében. A lakások magas minoségu anyagokkal készülnek, 94-153 m2 alapterületuek, földszinti lakásaink kertkapcsolatosak.Az exkluzív épületben található egy kétszintes penthouse is, amely akár két generációnak is tágas, exkluzív otthona lehet. Mindkét emeleten nappali és háló blokkra osztható a duplex.A társasházban a kényelmes közlekedést privát lift segíti, a hoellátást környezetbarát levego-víz hoszivattyú biztosítja, a lakásokban felület hutés-futés készül, a nappalikban fan-coil kiegészítéssel. A lakásokhoz 2 garázsbeálló, valamint egy tárolóhelyiség választható.L1. Lakás1. Eloszoba 2,05 m22. Közlekedo 6,3 m23. Elotér 2,74 m24. Fürdo 2,1 m25. Háló 12,66 m26. Konyha-Étkezo 12,18 m27. Nappali 26,52 m28. Háló 13,48 m29. Gardrób 6,4 m210. Fürdo 6,65 m2ÖSSZESEN: 91,08 m211. Terasz 36,43 m2KERT KIZÁRÓLAGOS HASZNÁLATTAL: 160 NMANYAGHASZNÁLATA falfelületeknél nemesvakolat, illetve ragasztott mészkoburkolat kerül felhasználásra, a nyílászárókat, pedig antracit színben porszórt alumínium tokok keretezik. OKOSOTTHONA beruházói koncepciónak megfeleloen a lakások „Okosotthon” vezérléssel lesznek ellátva, amelyek alkalmasak lesznek a hutés, futés, árnyékolás és a biztonságtechnikai rendszerek vezérlésére és távelérésére.Remélem felkeltettem érdeklodését, hívjon bizalommal hétvégén is!!Szívügyünk az otthonod! Egy ingatlannak mérete és ára van. Az otthon igazi értéke viszont felbecsülhetetlen - ezért az értékbecsléstol a birtokbaadásig végigkísérünk az ingatlan adásvétel folyamatán, hogy anyagi, jogi és érzelmi biztonságban legyél.  Szarka Pál","nincs megadva",NA,"luxus","nincs megadva","földszint","3","van","nincs megadva","hoszivattyú, mennyezeti hutés-futés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","36.43 m²","igen","nincs megadva","teremgarázs hely - megvásárolható",NA,NA
"7","XII. kerület, Felso Svábhegyi út 18.","239,36 millió Ft","91 m²","3","A lakásrólFS18 Fsz. 1 lakás: A földszinten elhelyezkedo, északi tájolású, kertkapcsolatos 3 szobás lakás, 91.8 m2 alapterülettel és 36 m2-es terasszal kerül kialakításra. A 3 szoba és kiszolgáló helyiségei, valamint a privát kertrész ideális lakóteret nyújt családok számára is. Remek elrendezésu otthon: tágas konyha-étkezo terület tekintélyes méretu nappalival, gardrób; 2 db hálószoba saját fürdoszobával. A lakáshoz 160 m2-es privát kertrész tartozik!(A lakáshoz  tartozó 2db pinceszinti gépkocsi-beálló, valamint 1 db tárolóhelyiség megvásárolandó.)Átadás: 2022. január.Fizetési ütemezés:- Szerzodéskötéskor: 25%- Pinceszint szerkezetkész állapotakor: 25%- Lakás szerkezetkész állapotakor: 20%- Lakás emelt szintu szerkezetkész állapotakor: 20%- Birtokbaadáskor: 10%Az épületrolA Kútvölgy kedvelt, nyugodt részén Felso Svábhegyi úton épülo FS18 Residence-ben 4 db új prémium kategóriás, exkluzív budai lakás várja igényes tulajdonosát. A minden igényt kielégíto, magas felszereltségu lakások családok, üzletemberek és értékálló befektetést keresok számára egyaránt nagyszeru lehetoséget kínálnak. A kituno lokációval rendelkezo, lendületes, ám letisztult homlokzatú FS18 Residence a legfrissebb építészeti trendek alapján,  a került megtervezésre. A hátsó, csendes kert felé nagy, egybefüggo ablakfelületekkel nyíló letisztult formájú épület modern dizájnjával, egyéni igényekre szabható lakáskialakításokkal, tágas és világos élettereivel ideális választás a budai belso kerületekben lakást kereso vásárlóknak.Az épületben a kényelmes közlekedést privát lift segíti, a hoellátást környezetbarát levego-víz hoszivattyú biztosítja, a lakásokban felület hutés-futés készül, a nappalikban fan-coil kiegészítéssel. Az FS18 Residence Budapest, XII. kerületének klasszikus városrészén, Kútvögyben helyezkedik el,  ahol kiváló infrastruktúra és tömegközlekedés, ugyanakkor hegyvidéki zöldövezetekre jellemzo hangulat és nyugalom várja a lakókat. A mindennapok kényelmét és a praktikus teendok gondtalanságát kiváló oktatási intézmények, valamint a környéken és a közeli bevásárlóközpontokban megtalálható üzletek, bankok és színvonalas szolgáltatások biztosítják.A kituno lokációval rendelkezo, lendületes, ám letisztult homlokzatú FS18 Residence a legfrissebb építészeti trendek alapján került megtervezésre. A hátsó, csendes kert felé megnyitott épülettömb modern dizájnjával, egyéni igényekre szabható lakás-enteriorjével és praktikus ám stílusos élettereivel ideális választás a budai belso kerületekben lakást kereso vásárlóknak.Átadás: 2020. május.Az impozáns, modern vonalú épületben 4 lakás, 8 parkoló és 4 tároló épül az energiatudatos építészet jegyében. A lakások magas minoségu anyagokkal készülnek, 94-153 m2 alapterületuek, földszinti lakásaink kertkapcsolatosak. Az exkluzív épületben található egy kétszintes penthouse is, amely nappali és háló blokkra osztható. Az épületben a kényelmes közlekedést privát lift segíti, a hoellátást környezetbarát levego-víz hoszivattyú biztosítja, a lakásokban felület hutés-futés készül, a nappalikban fan-coil kiegészítéssel. A lakásokhoz 2 garázsbeálló,valamint egy tárolóhelyiség választható.Budapest, XII. kerületének klasszikus városrésze Kútvölgy, ami kiváló infrastruktúrával és tömegközlekedéssel rendelkezik, ugyanakkor hegyvidéki zöldövezetekre jellemzo hangulatot és nyugalmat áraszt. A mindennapok kényelmét és a praktikus teendok gondtalanságát kiváló oktatási intézmények, valamint a környéken és a közeli bevásárlóközpontokban megtalálható üzletek, bankok és színvonalas szolgáltatások biztosítják.A FS18 Residence projekt befektetoi olyan épületegyüttes létrehozását tuzték ki célul, ahol a leendo tulajdonosok egyszerre élvezhetik a városközeli hegyvidék nyugalmát és a felsokategóriás életstílust. Ezek a minden igényt kielégíto lakások kényelmet, nyugalmat, biztonságot kínálnak.AnyaghaszálatA falfelületeknél nemesvakolat, illetve ragasztott mészkoburkolat kerül felhasználásra, a nyílászárókat, pedig antracit színben porszórt alumínium tokok keretezik. OkosotthonA beruházói koncepciónak megfeleloen a lakások „Okosotthon” vezérléssel lesznek ellátva, amelyek alkalmasak lesznek a hutés, futés, árnyékolás és a biztonságtechnikai rendszerek vezérlésére és távelérésére.","új építésu","2022","luxus","nincs megadva","földszint","2","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","külön helyiségben","észak","kertre néz","36.4 m²","igen","nincs megadva","teremgarázs hely - kötelezo megvenni","8 500 000 Ft",NA
"8","XII. kerület, Kútvölgy","239,37 millió Ft","109 m²","3","ÚJ ÉPÍTÉSU LAKÁS!Az otthon-választás a legideálisabb lokáció megtalálásával kezdodik. Kútvölgy egyik legnagyszerubb elhelyezkedésu telkén épülo lakások minden szempontból megfelelnek a vevoi elvárásoknak.Családok számára jó szívvel ajánljuk a kertkapcsolatos lakást, az igazán nagy teraszra vágyók pedig elsosorban a különleges penthouse lakásba tudnak beleszeretni. Kimagasló muszaki felszereltség, elegáns megjelenés. Értékesítési irodánkban minden részletet át tudunk beszélni.Lakásonként 2 db teremgarázs hely vásárolandó 8,5 M Ft/hely értékben, valamint egy tároló helyiség (1 M Ft/m2; 6 m2 - 11,5 m2).Várható átadás: 2022. január.További hasonló budai lakásokat a budaiujlakasok elnevezésu oldalon tekinthet meg.A belso fotók látványképek egy megvalósítható kialakításról.A földszinti 3 szobás lakás 91,08 m2 alapterületu 36,43 m2-es terasszal és egy 160 m2-es kizárólagos használatú kertrésszel rendelkezik.","befejezetlen",NA,"duplakomfortos","nincs megadva","földszint","3","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","észak","kertre néz","36 m²","igen","nem tetotéri","teremgarázs hely - megvásárolható","8 500 000 Ft",NA
"9","XII. kerület, Kútvölgy","239,4 millió Ft","91 m²","3","Eladó  XII.ker. Felso svábhegyen  ÚJÉPÍTÉSU PENTHOUSE  90.47 nm N+2sz,lakás 31.92nm terasszal . ÁTADÁS 2022 I.néA négylakásos társasház lakásai fél szintek eltolásával épülnek, a terep lejtéséhez idomulva, a kertje felé nagy, egybefüggo ablakfelületekkel.Muszaki tartalom:A lakások „Okos otthon” vezérléssel lesznek ellátva, alkalmasak lesznek a hutés, futés, árnyékolás és a biztonságtechnikai rendszerek vezérlésére és táveléréséreBURKOLATOK:  A lakóterekben a meleg burkolatok természetes faanyagúak, a vizes helyiségek hidegburkolata csúszásmentes greslap anyagú. Burkolatokat egységesen bruttó 15.000.- Ft/nm értékben lehet választani.A vizes helyiségekben Villeroy and Boch típusú vagy azzal megegyezo minoségu szaniterek kerülnek beépítésre. Energia:  Az épületek hoenergia igényét levegos hoszivattyús rendszerrel biztosítjuk,valamint a nappaliban oldalfali fan-coil kerül kialakításra. A lakások hutése, futése távoli indítással interneten keresztül lehetséges. SzellozésA lakásokban gravitációs szellozés kerül kialakításra.Kert: Az ingatlan parkosítása mellett, játszótér, és grillezo hely kerül kiépítésre. Zöldfelületek öntözését automata öntözorendszer biztosítja az elvezetett csapadékvíz felhasználásával.Biztonságtechnika: A fobejárati közlekedést motoros muködtetésu gépjármu kapu, valamint kulcsos és kódos belépteto rendszer teszi lehetovéAz épület videó-kaputelefonnal és kamerarendszerrel lesz ellátva, ezen felül a lakásokban egyedi riasztórendszer kerül kialakításra. Lakásonként 2db teremgarázs hely 8.5M Ft /db, és egy tároló helyiség megvásárlandó 1 M Ft/nm (különbözo méretuek 6-12nm-ig).A környék infrastruktúrája közlekedése kiváló.Részletesebb muszaki leírásért vagy megtekintéssel kapcsolatban várom hívását - hétvégén is.Amiben még segíteni tudokEnergetikai tanúsítvány, hitelügyintézés, közjegyzo, ügyvédBovebb kínálatért-információkért, látogasson el honlapunkra.Megtekintéssel kapcsolatban várjuk jelentkezését.Az ingatlanban megvásárolható egy 106nm Penthouse       és egy belso kétszintes  202 nm Penthouse","új építésu","2021","nincs megadva","nincs megadva","1","2","van","nincs megadva","mennyezeti hutés-futés, fan-coil","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","32 m²","igen","nincs megadva","teremgarázs hely - kötelezo megvenni","7 500 000 Ft",NA
"10","XIII. kerület, Hollán Erno utca","239,9 millió Ft","146 m²","3","Századfordulós hangulatban! CSAK kivételes igényueknek!Eladó, a Hollán Erno utca elején, egy 1912-ben épült, impozáns ház (liftes), 2. emeletén, egy részben restaurált, eredeti állapotába visszahelyezett, rendkívül színvonalasan felújított, 146 m2-s, óriás nappalis, hallos, 2 hálószobás, duplakomfortos, utcára nézo, nyugati fekvésu, kivételes igényeket kiszolgáló, ritkaságszámba meno lakás. Az Épület A ház 1912-ben épült. A 6 szintes épület, liftes. Külso homlokzata jó állapotú. Belso homlokzata, átlagos állapotban van, ahogy a lépcsoház is. Lakóközössége a környékhez méltó. A LakásAz ingatlanba a lépcsoházból lehet bejutni. Elhelyezkedés folytán, világos, a kialakításnak köszönhetoen nagyon csendes.A teljes felújítás, 2020-ban fejezodött be. A falakon és a mennyezeten található díszítések, stukkók, a hall impozáns fa-burkolata és két márvány oszlopa eredeti állapotukba lettek visszaállítva. A padlózat alatti salak is cserére került.A rendkívül tágas szobákban és a hallban, tölgyfa parketta emeli a patináját a lakásnak.A legtöbb bútorzat egyedi, beépített, a stílushoz alkalmazkodó tárolók nyelik el a tulajdonosok holmijait. A szobák klimával felszereltekAz utcára nézo és a konyhában található ablakok elektromos redonnyel ellátottak.A rekonstrukció során, a nyílászárók nem mentheto része cserére került. Ez az utcafronti ablakokra vonatkozik elso sorban. Ahol azonban lehetett megmaradtak és felújitásra kerültek. Az eredeti festett ólomkristály ablakok restaurálva lettek.A futésrol vadonatúj gáz-cirkó gondoskodik. A kémény bélelve lett, korszeru kazán és egy melegvíz-tároló garantálja a folyamatos kényelmet.  A víz-gáz-villany vezetékek minoségi anyagokra lettek lecserélve. A nagyobbik fürdoszoba méretei megengedték, hogy a korabeli hangulatot, modern, luxus köntösbe lehessen bújtatni. Lenyugözo látvány.A konyha gépesített, BOSH konyhai eszközökkel felszerelt. (Elektromos fozolap, süto, huto, mosógép, mosogatógép.) A konyhában az eredetileg kialakított, beépített tárolók nyelik el a konyhában használt eszközöket.Ahol lehetett, megmaradtak az eredeti berendezési tárgyak is. Például a közlekedoben található fali-csap, amely külön exkluzivitást ad az amúgy is pazar ingatlannak.Riasztó található a lakásban.A KöltségekA lakás méretéhez képest a költségek rendkívül kedvezoek, köszönhetoen a minoségi anyagoknak és munkalátoknak.A közös költség: 43 000 FtAz egyéb fenntartási költségek, víz-villany-gáz, egyedi méroórákkal mérhetoek, ezért igénytol függoen alakulhatnak. A jelenlegi számítások szerint, 20 - 30 ezer forint közötti összegre rúghat a közös költség feletti rész havonta. A LokációA lakás elhelyezkedése magáért beszél. A házból kilépve kávézók, éttermek néhány méteren belül.Ahogy kisközértek, egészségboltok is 1-2 perc sétára vannak.A Margitsziget 250 méter távolságra biztosítja a relaxációt, sportolási lehetoségeket.A Nyugati téren és a West-End közelsége minden igényt kielégíto bevásárlásokra, vásárlásokra ad módot.A KözlekedésEgyszeruen és több alternatív közlekedési eszközzel megközelítheto az otthon.A 4-6 villamos megállója az utca végén található, Egy villamos megállóra pedig metróállomás, Több éjszakai járat is segíti a kényelmet és a bármikori hazajutást. Kinek ajánlom!Mindenképpen azok számára, akik olyan speciális, páratlan ingatlant keresnek, ami nem jön mindennap szembe a hirdetési oldalakon. Egyedülállók számára, klasszikus “legénylakás”!Fiatal párok, akik egyedi igényekkel rendelkeznekEgy gyermekes családok számára, ahol már a gyermek tinédzser korúBefektetok számára, mert kiadhatósága exkluzivitása okán extra nagyságú bevételi forrást jelent.A hirdetésben az alaprajz tájékoztató jellegu, csak közelítoleg méretarányos.Adatbázisunkban további több ezer ingatlanból választhat, hívjon bizalommal, hogy megtaláljuk a legmegfelelobbet!Hitelre van szüksége? Teljes köru és díjmentes hitelügyintézéssel, biztosításkötéssel áll rendelkezésére szakérto kollégánk. Kérje személyre szabott ajánlatunkat!  Ezúton tájékoztatjuk, hogy Ön mint érdeklodo, a hirdetésben megjelölt telefonszám felhívásával hozzájárul személyes adatai – így különösen neve és telefonszáma -, a hirdetést feladó Real Estate Solutions Kft. általi - biztonságos és körültekinto - kezeléséhez, nyilvántartásához. E körben, az alábbi linken megismerheti az adatkezelési tájékoztatót.We hereby inform you that You as an interested party, by calling the phone number mentioned in the advertisement, contribute to be your personal data – especially your name and phone number – handled and recorded safe and circumspectively by Real Estate Solutions Kft. as advertiser. Hereby, you can learn our Privacy  immo1 pont hu per adatvedelem","újszeru","1950 elott","duplakomfortos","nincs megadva","2","6","van","3 m-nél magasabb","gáz (cirko)","van","43 E Ft/hó","igen","külön és egyben is","nyugat","utcai","nincs megadva","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
